"flw.size.arg","flw.size.vd","value","se","x"
"1",0,4,-0.0803167971863131,0.0511198263689221,0
"2",0.0208333333333333,4,-0.0718384830746062,0.0426941991868409,0.0833333333333333
"3",0.0416666666666667,4,-0.064210512416453,0.0385063277236217,0.166666666666667
"4",0.0625,4,-0.0574329169899545,0.0386735375489594,0.25
"5",0.0833333333333333,4,-0.0515057254402692,0.0421355678930155,0.333333333333333
"6",0.104166666666667,4,-0.0464289627536015,0.0474060958842025,0.416666666666667
"7",0.125,4,-0.0422026494057742,0.0533682018104216,0.5
"8",0.145833333333333,4,-0.0388267802519506,0.059380552003567,0.583333333333333
"9",0.166666666666667,4,-0.0363013017721993,0.0651192838335793,0.666666666666667
"10",0.1875,4,-0.0346261520051362,0.0704428557825549,0.75
"11",0.208333333333333,4,-0.0338012680542539,0.0753172177821005,0.833333333333333
"12",0.229166666666667,4,-0.0338265884146408,0.079778158664644,0.916666666666667
"13",0.25,4,-0.0347020580825183,0.0839130025758584,1
"14",0.270833333333333,4,-0.0364276615881794,0.0878522481220581,1.08333333333333
"15",0.291666666666667,4,-0.0390034185782926,0.0917633292394785,1.16666666666667
"16",0.3125,4,-0.0424293594397812,0.0958437757241818,1.25
"17",0.333333333333333,4,-0.0467055221611461,0.100313316817803,1.33333333333333
"18",0.354166666666667,4,-0.051831950136376,0.105403403378841,1.41666666666667
"19",0.375,4,-0.0578086900965358,0.111344252867935,1.5
"20",0.395833333333333,4,-0.0646357872669367,0.118350942478876,1.58333333333333
"21",0.416666666666667,4,-0.0723132633746738,0.126611204753594,1.66666666666667
"22",0.4375,4,-0.0808411259786028,0.136276736332897,1.75
"23",0.458333333333333,4,-0.0902193785264268,0.147459668167535,1.83333333333333
"24",0.479166666666667,4,-0.100448020631376,0.160234358182801,1.91666666666667
"25",0.5,4,-0.111527048321996,0.17464291396393,2
"26",0.520833333333333,4,-0.123456454184472,0.190702445072686,2.08333333333333
"27",0.541666666666667,4,-0.136236227418955,0.208412342235241,2.16666666666667
"28",0.5625,4,-0.149866354941909,0.227760517452455,2.25
"29",0.583333333333333,4,-0.164346822042322,0.248728267070622,2.33333333333333
"30",0.604166666666667,4,-0.179677612832208,0.271293751101144,2.41666666666667
"31",0.625,4,-0.195858710659548,0.295434300290882,2.5
"32",0.645833333333333,4,-0.212890098909318,0.32112783444673,2.58333333333333
"33",0.666666666666667,4,-0.230771767256355,0.348353688002926,2.66666666666667
"34",0.6875,4,-0.249503710318801,0.37709298980097,2.75
"35",0.708333333333333,4,-0.269085922885614,0.407328749800974,2.83333333333333
"36",0.729166666666667,4,-0.289518399790329,0.43904581706985,2.91666666666667
"37",0.75,4,-0.310801135911058,0.472230762746644,3
"38",0.770833333333333,4,-0.332934126409778,0.506871734772073,3.08333333333333
"39",0.791666666666667,4,-0.355917367615036,0.542958319047223,3.16666666666667
"40",0.8125,4,-0.379750856592608,0.58048138767134,3.25
"41",0.833333333333333,4,-0.404434590947425,0.61943294783248,3.33333333333333
"42",0.854166666666667,4,-0.429968568823575,0.659806002164459,3.41666666666667
"43",0.875,4,-0.456352788904301,0.701594421003045,3.5
"44",0.895833333333333,4,-0.483587250412003,0.744792826931524,3.58333333333333
"45",0.916666666666667,4,-0.511671953108239,0.789396491333672,3.66666666666667
"46",0.9375,4,-0.540606897293718,0.835401242331367,3.75
"47",0.958333333333333,4,-0.570392083808312,0.882803383340766,3.83333333333333
"48",0.979166666666667,4,-0.601027514031044,0.931599621451534,3.91666666666667
"49",1,4,-0.632513189880095,0.981787004866323,4
"50",0,5,-0.0803167971863131,0.0511198263689221,0
"51",0.0208333333333333,5,-0.0728386531415017,0.0439557360655708,0.104166666666667
"52",0.0416666666666667,5,-0.0660407738285787,0.0398088263889466,0.208333333333333
"53",0.0625,5,-0.0599231754392877,0.0387420476698232,0.3125
"54",0.0833333333333333,5,-0.0544858726193888,0.0402214848894975,0.416666666666667
"55",0.104166666666667,5,-0.0497288781993409,0.0433537044809399,0.520833333333333
"56",0.125,5,-0.0456522028172562,0.0473063014098489,0.625
"57",0.145833333333333,5,-0.0422558544341283,0.0514941823630738,0.729166666666667
"58",0.166666666666667,5,-0.0395398350908754,0.0555599932637468,0.833333333333333
"59",0.1875,5,-0.0375041216729663,0.0593041826412833,0.9375
"60",0.208333333333333,5,-0.0361486782806646,0.0626285644618262,1.04166666666667
"61",0.229166666666667,5,-0.0354734679723441,0.0655020112966899,1.14583333333333
"62",0.25,5,-0.0354784540262392,0.0679419799257219,1.25
"63",0.270833333333333,5,-0.0361636016531638,0.070005484302135,1.35416666666667
"64",0.291666666666667,5,-0.0375288808874425,0.0717855463778984,1.45833333333333
"65",0.3125,5,-0.0395742703412622,0.0734103562899645,1.5625
"66",0.333333333333333,5,-0.0422997734085057,0.0750431836114728,1.66666666666667
"67",0.354166666666667,5,-0.0457054077549007,0.0768796262279298,1.77083333333333
"68",0.375,5,-0.0497911953387986,0.0791408799056029,1.875
"69",0.395833333333333,5,-0.0545571611883468,0.0820619369720494,1.97916666666667
"70",0.416666666666667,5,-0.060003332300503,0.085874675852873,2.08333333333333
"71",0.4375,5,-0.0661297366054207,0.0907885489572404,2.1875
"72",0.458333333333333,5,-0.0729364019962066,0.0969736856666168,2.29166666666667
"73",0.479166666666667,5,-0.0804233553840531,0.104551149563877,2.39583333333333
"74",0.5,5,-0.0885906160830693,0.11359246467837,2.5
"75",0.520833333333333,5,-0.0974381889856534,0.124126837244971,2.60416666666667
"76",0.541666666666667,5,-0.106966074357661,0.136152096767587,2.70833333333333
"77",0.5625,5,-0.117174270013054,0.149645894658964,2.8125
"78",0.583333333333333,5,-0.128062771802983,0.164575027073408,2.91666666666667
"79",0.604166666666667,5,-0.139631573919501,0.180902108671631,3.02083333333333
"80",0.625,5,-0.15188066918006,0.198589789170151,3.125
"81",0.645833333333333,5,-0.16481004929277,0.217603100794256,3.22916666666667
"82",0.666666666666667,5,-0.178419705102437,0.237910549383697,3.33333333333333
"83",0.6875,5,-0.192709626817375,0.259484437795349,3.4375
"84",0.708333333333333,5,-0.207679804216985,0.282300761368008,3.54166666666667
"85",0.729166666666667,5,-0.223330226840111,0.306338891997743,3.64583333333333
"86",0.75,5,-0.239660884154167,0.331581180217718,3.75
"87",0.770833333333333,5,-0.256671765791828,0.358012549146206,3.85416666666667
"88",0.791666666666667,5,-0.27436286207397,0.385620120574031,3.95833333333333
"89",0.8125,5,-0.292734165015872,0.414392887040123,4.0625
"90",0.833333333333333,5,-0.311785670996897,0.444321446378276,4.16666666666667
"91",0.854166666666667,5,-0.331517377783722,0.475397748741466,4.27083333333333
"92",0.875,5,-0.351929283574353,0.507614884129192,4.375
"93",0.895833333333333,5,-0.373021386998115,0.540966906310344,4.47916666666667
"94",0.916666666666667,5,-0.394793687115662,0.575448683854081,4.58333333333333
"95",0.9375,5,-0.417246183418973,0.611055773902805,4.6875
"96",0.958333333333333,5,-0.440378875831351,0.647784315021016,4.79166666666667
"97",0.979166666666667,5,-0.464191764707423,0.685630936096733,4.89583333333333
"98",1,5,-0.488684850833142,0.724592678830684,5
"99",0,6,-0.0803167971863131,0.0511198263689221,0
"100",0.0208333333333333,6,-0.0735054338360153,0.0449051875365973,0.125
"101",0.0416666666666667,6,-0.0672609531956685,0.0411951705397685,0.25
"102",0.0625,6,-0.0615833645540085,0.0400089688957808,0.375
"103",0.0833333333333333,6,-0.0564726763461869,0.0409673359144265,0.5
"104",0.104166666666667,6,-0.0519288959979161,0.0434250465815065,0.625
"105",0.125,6,-0.0479520297072718,0.0467320147925974,0.75
"106",0.145833333333333,6,-0.0445420821641537,0.0503856755060445,0.875
"107",0.166666666666667,6,-0.0416990562074038,0.0540480699990718,1
"108",0.1875,6,-0.0394229523090164,0.0575086810935861,1.125
"109",0.208333333333333,6,-0.0377137611495638,0.0606449009840985,1.25
"110",0.229166666666667,6,-0.0365714599784647,0.0633937708793612,1.375
"111",0.25,6,-0.0359960240826515,0.0657342633879461,1.5
"112",0.270833333333333,6,-0.0359874286543986,0.067677447490532,1.625
"113",0.291666666666667,6,-0.0365456504287595,0.069261608557035,1.75
"114",0.3125,6,-0.0376706689997698,0.0705504081993915,1.875
"115",0.333333333333333,6,-0.0393624676577746,0.0716328995509818,2
"116",0.354166666666667,6,-0.0416210340505241,0.0726242691485618,2.125
"117",0.375,6,-0.0444463627183279,0.0736661756516158,2.25
